u:�rea 1000\01-CVA1001\MOTOR CVA 1001\01-MOT-LOA-HOR;ch1;n:4095;d:0,400000005960464;eu:g;25/05/2022 09:34:33;s:
t[s];Y[g];
0;-0,216966584324837;0;
0,400000005960464;-0,199628263711929;0;
0,800000011920929;-0,0682995915412903;0;
1,20000001788139;-0,0787581652402878;0;
1,60000002384186;0,0454664491117001;0;
2,00000002980232;0,343316733837128;0;
2,40000003576279;0,279518812894821;0;
2,80000004172325;-0,111681066453457;0;
3,20000004768372;-0,41768953204155;0;
3,60000005364418;-0,419873714447021;0;
4,00000005960464;-0,194499731063843;0;
4,40000006556511;0,00296932156197727;0;
4,80000007152557;0,0827413499355316;0;
5,20000007748604;0,00677212653681636;0;
5,6000000834465;-0,177840664982796;0;
6,00000008940697;-0,337823569774628;0;
6,40000009536743;-0,281001627445221;0;
6,8000001013279;0,024888364598155;0;
7,20000010728836;0,140860393643379;0;
7,60000011324883;0,0639649480581284;0;
8,00000011920929;0,0438914373517036;0;
8,40000012516975;-0,0476220510900021;0;
8,80000013113022;0,0362321212887764;0;
9,20000013709068;0,234648495912552;0;
9,60000014305115;0,130975991487503;0;
10,0000001490116;0,0124428374692798;0;
10,4000001549721;0,11144258081913;0;
10,8000001609325;0,243423864245415;0;
11,200000166893;0,244359761476517;0;
11,6000001728535;0,202839240431786;0;
12,0000001788139;0,209942772984505;0;
12,4000001847744;0,00688184937462211;0;
12,8000001907349;-0,224257469177246;0;
13,2000001966953;-0,155299708247185;0;
13,6000002026558;0,0213599763810635;0;
14,0000002086163;0,138556525111198;0;
14,4000002145767;0,0340367965400219;0;
14,8000002205372;-0,186219558119774;0;
15,2000002264977;-0,278156071901321;0;
15,6000002324581;-0,292632848024368;0;
16,0000002384186;-0,0843100100755692;0;
16,400000244379;0,1640634983778;0;
16,8000002503395;-0,0163909718394279;0;
17,2000002563;-0,363881587982178;0;
17,6000002622604;-0,360272318124771;0;
18,0000002682209;-0,0137249706313014;0;
18,4000002741814;0,256344318389893;0;
18,8000002801418;0,251534253358841;0;
19,2000002861023;0,0733027160167694;0;
19,6000002920628;-0,103661976754665;0;
20,0000002980232;-0,0454753004014492;0;
20,4000003039837;0,140387117862701;0;
20,8000003099442;0,254054695367813;0;
21,2000003159046;0,294023513793945;0;
