Maquina,Frequencia_Pico_Hz,Amplitude_Maxima_g
4-MANCAL-LA-VERTI.csv,0.0,0.0
3-MANCAL-LOA-VERTI.csv,0.0,0.0
3-MANCAL-LOA-HORIZ.csv,0.0,0.0
4-MANCAL-LA-AXIAL.csv,0.0,0.0
4-MANCAL-LA-HORIZ.csv,-0.0,0.0
3-MANCAL-LOA-AXIAL.csv,0.0,0.0
4-MANCAL-LA-VERTI.csv,0.0,0.0
3-MANCAL-LOA-VERTI.csv,-0.0,0.0
3-MANCAL-LOA-HORIZ.csv,0.0,0.0
4-MANCAL-LA-AXIAL.csv,0.0,0.0
2-MOT-LA-VERTI.csv,0.0,0.0
01-MOT-LOA-HOR.csv,-0.0,0.0
2-MOT-LA-HORIZ.csv,-0.0,0.0
1-MOT-LOA-AXIAL.csv,0.0,0.0
01-MOT-LOA-VERT.csv,0.0,0.0
01-MOT-LOA-HOR.csv,-0.0,0.0
6-MANCAL-LOA-HORI.csv,0.0,0.0
5-MANCAL-LA-VERT.csv,-0.0,0.0
5-MANCAL-LA-HORI.csv,0.0,0.0
5-MANCAL-LA-AXIAL.csv,-0.0,0.0
6-MANCAL-LOA-AXIAL.csv,-0.0,0.0
6-MANCAL-LOA-VERTICAL.csv,0.0,0.0
2-MOT-LA-VERTI.csv,0.0,0.0
01-MOT-LOA-HOR.csv,0.0,0.0
1-MOT-LOA-AXIAL.csv,0.0,0.0
01-MOT-LOA-VERT.csv,0.0,0.0
4-REDUT-EIXO SAIDA-LOA-HOR.csv,-0.0,0.0
2-REDU-EIXO1-LOA-HORIZ.csv,-0.0,0.0
3-REDUT-EIXO2-LOA-HORIZ.csv,0.0,0.0
2-REDU-EIXO1-LA-HORIZON.csv,-0.0,0.0
